Frame,Arm Reach,Cadence,Objects,Area Size
617,0.12295990933406348,1.0,8060,139490.0
618,0.09221636602469502,1.0,7881,139068.5
619,,1.0,7353,147479.0
620,0.17242699421408464,2.0,7225,181282.5
621,,2.0,7031,210906.0
622,,2.0,7227,227586.5
623,0.27791520660957647,3.0,6827,219314.5
624,,3.0,6787,200837.0
625,,3.0,6873,181066.0
626,0.20043164001797567,3.0,7123,165045.0
627,0.16853594601562052,1.0,6931,154746.0
628,0.035665920672496326,1.0,6651,184585.0
629,0.02580215409390522,1.0,6119,173804.5
630,0.16972760360496433,1.0,5712,278088.0
631,0.17039458540210237,1.0,6225,228276.5
632,0.0742464156597736,1.0,5924,375968.0
633,,1.0,6123,350699.0
634,,1.0,6584,294454.0
635,,1.0,6395,328896.0
636,,1.0,6428,304307.5
637,,1.0,6133,336999.0
638,,1.0,6150,343904.0
639,0.4696553034039583,7.0,5614,458824.0
640,0.20221140855215078,1.0,5305,463103.0
641,0.14438796168730636,1.0,5445,480651.5
642,0.1156048190807637,1.0,5832,528253.5
643,0.13322956074288234,1.0,6034,673318.0
644,0.027033270457924596,1.0,5589,576783.5
645,0.04776960913927312,1.0,6280,488433.5
646,,1.0,5290,323273.0
647,,1.0,5617,370771.0
648,,1.0,6488,356799.5
649,,1.0,6489,292992.0
650,,1.0,6852,262032.0
651,,1.0,6399,269496.5
652,,1.0,6628,356130.5
653,0.21026735582762027,8.0,6322,402325.5
654,0.19953628282657052,1.0,6288,478265.5
655,0.16361532053944566,1.0,5544,570565.5
656,0.08298207774767033,1.0,5081,545788.0
657,,1.0,6236,473281.5
658,,1.0,6708,340802.5
659,0.11425346590980626,3.0,6711,718606.0
660,0.1556039893960279,1.0,6559,584378.5
661,0.16591600319445984,1.0,6166,640241.0
662,0.170252723364076,1.0,5313,426357.5
663,0.1570550616495906,1.0,5682,404169.0
664,0.15109788860200585,1.0,5525,775918.5
665,0.10383763417619232,1.0,4762,461117.0
666,0.03350518315291159,1.0,5355,450865.0
667,0.09489777910175133,1.0,5217,441679.0
668,0.08155524272869728,1.0,5253,449297.0
669,0.03745583457105589,1.0,5808,447232.5
670,0.006960663668467765,1.0,5532,700899.5
671,,1.0,4217,896132.0
672,,1.0,3984,682778.0
673,,1.0,3743,654589.0
674,,1.0,4323,509934.0
675,,1.0,5691,393060.0
676,,1.0,4930,614370.5
677,,1.0,4673,1009835.0
678,,1.0,4510,1021714.0
679,,1.0,4935,640055.5
680,,1.0,5194,618592.5
